     Function/Label                 Bytes
     ADC12CTL0                         2
     ADC12CTL1                         2
     ADC12IFG                          2
     ADC12IE                           2
     ADC12MEM0                         2
     ADC12MEM1                         2
     ADC12MCTL1                        1
     g_ul_meansquarecurrent            4
     g_uc_gain_index                   1
     g_ul_sample_time_counter          4
     g_uc_asymmetric_inrush            1
     g_ul_10_sec_half_cycle_count      4
     g_uc_low_power_exit               1
     g_ul_half_cycle_count             4
     g_uc_fault_current                1
     g_ul_half_cycle_count_10sec       4
     g_ull_avg_10s_ui                  8
     g_ul_max_10s_ui                   4
     uia_gain_factor                  10
     asymmetric_calc_t                 8
     ui_gain                           2
     ul_sample_square                  4
     ul_ping_sos                       4
     ul_pong_sos                       4
     uc_sample_count                   1
     uc_sos_select                     1
     ull_last_hour_avg                 8
     ul_last_hour_max                  4
     uc_first_cycle_crossed            1
     measurement_initadc              50
     measurement_reset_hourly_data    66
     measurement_init                 96
     measurement_readadc              54
     measurement_sample_activity     246
     measurement_halfcycle_activity  466
     measurement_asymmetric_computation                                     140
     measurement_cmpt_hrly_log_rms   120
     measurement_solenoid_pulse_timer                                      62
     measurement_shutdown_adc         20
     measurement_10sec_computation    94

